Titolo;Coordinate;Descrizione
Kota Tua;-6.138564771606784, 106.81387072334091;Accesso all'area: Gratuito (si paga solo l'ingresso ai singoli musei). Costi Musei: 15.000 IDR per gli stranieri .Davanti a te (Direzione Sud)Vedi il Museo di Storia di Giakarta. e' l'edificio piu' grande, l'ex municipio. Osserva la struttura massiccia in pietra: all'interno puoi visitare le antiche prigioni sotterranee. Davanti alla scalinata principale si trova spesso una replica del cannone Si Jagur.Alla tua destra (Direzione Ovest)C’e' il Museo Wayang. Nota la facciata stretta tipica delle case di Amsterdam. Qui sono esposti i famosi Wayang Kulit (marionette in pelle). Proprio accanto, inizia Jalan Pintu Besar Utara, una delle vie di accesso principali alla piazza.Alla tua sinistra (Direzione Est)Trovi il Museo delle Belle Arti e della Ceramica. Lo riconosci subito dalle colonne neoclassiche bianche. All'interno sono custodite ceramiche di epoca Ming e Majapahit. Se guardi oltre l'edificio, verso l'angolo  nord-est, vedi l'imbocco di Jalan Pos Kota.Dietro di te (Direzione Nord)Hai il Café Batavia, un edificio a due piani in legno e mattoni con grandi finestre che si affacciano sulla piazza. Se prosegui dritto lasciandoti il caffe' sulla destra, imbocchi Jalan Kunir che ti portera' verso i resti delle antiche mura della citta' e, piu' avanti, al ponte levatoio olandese (Hoenderpasarbrug). Guarda a terra: il pavimento della piazza e' irregolare. Se vuoi spostarti velocemente verso il porto di Sunda Kelapa (a nord), puoi noleggiare una bici Ontel per circa 20.000 - 50.000 IDR per 30 minuti.
Glodok Chinatown Market;-6.142788639031194, 106.81420863557638;"Benvenuti a Glodok, la Chinatown piu' grande dell'Indonesia. Immagina di trovarti all'incrocio principale, proprio di fronte alla storica Pantjoran Tea House, all'inizio di Jalan Pancoran. Accesso all'area: Gratuito. Costi: L'esplorazione e' libera; un pasto tipico nei vicoli costa tra 30.000 e 80.000 IDR, mentre un te' alla Pantjoran Tea House circa 40.000 IDR. Davanti a te (Direzione Sud - Jalan Pancoran): Ti trovi all'ingresso della via principale del mercato. Davanti a te si apre un corridoio vibrante di insegne cinesi, bancarelle di frutta esotica come il durian e il mangostano e negozi di medicina tradizionale. Sulla destra, proprio all'inizio, nota l'elegante edificio bianco della Pantjoran Tea House, un tempo una farmacia coloniale e oggi simbolo della zona. Alla tua destra (Direzione Ovest): Vedrai l'ingresso di Petak Enam, un complesso in stile tradizionale situato in un cortile restaurato, ideale per il cibo di strada. Poco piu' avanti, tra i vicoli di Jalan Kemenangan, si trova il tempio Vihara Dharma Bhakti (Kim Tek Ie), il piu' antico di Giakarta, dove l'aria e' densa di incenso. Alla tua sinistra (Direzione Est): Lungo il lato sinistro della strada principale vedrai i grandi centri commerciali dell'elettronica, come il Glodok Plaza o il Lindeteves Trade Center (LTC), dove si passa al commercio frenetico di gadget e tecnologia. Dietro di te (Direzione Nord): Alle tue spalle si trova la strada che riconduce verso la stazione di Jakarta Kota e Kota Tua; vedrai il traffico intenso che separa la zona moderna da questo cuore storico. Consiglio Audioguida: Non limitarti alla via principale; prendi il vicoletto a destra, Gang Gloria, un passaggio leggendario per il cibo dove troverai il caffe' piu' antico della zona, Kopi Es Tak Kie, famoso dal 1927. Attenzione alle moto che sfrecciano anche nei passaggi piu' stretti!"
Dharma Bakti Temple;-6.144474659598047, 106.81264433360184;"Ti trovi all'ingresso del Vihara Dharma Bhakti (conosciuto anche come Kim Tek Ie), il tempio taoista piu' antico di Giakarta, risalente al 1650, situato nel cuore dei vicoli di Glodok su Jalan Kemenangan III. Accesso all'area: Gratuito (e' consuetudine lasciare una piccola offerta libera nelle cassette rosse o acquistare incenso per sostenere il tempio). Costi: L'ingresso non ha un prezzo fisso; un mazzo di bastoncini di incenso costa circa 5.000 - 10.000 IDR. Davanti a te (Direzione Est): Vedi l'altare principale avvolto da una fitta nuvola di fumo azzurrognolo. L'architettura e' dominata dal rosso e dall'oro, con intricate decorazioni di draghi e fenici sul tetto. Noterai fedeli in preghiera che stringono bastoncini di incenso (joss sticks) e li muovono ritmicamente verso le statue delle divinita', tra cui la principale e' Guan Yin, la dea della Misericordia. Alla tua destra (Direzione Sud): Lungo le pareti laterali, osserva le centinaia di grandi candele rosse di cera che bruciano lentamente; alcune sono alte quasi due metri e vengono donate per augurare prosperita' e longevita'. Ci sono anche piccoli tavoli dove i devoti dispongono offerte di frutta e fiori. Alla tua sinistra (Direzione Nord): Vedrai file di bruciatori d'incenso in metallo e statue di divinita' minori che proteggono diversi aspetti della vita quotidiana, dalla salute agli affari. Spesso vedrai monaci o custodi che puliscono con cura gli altari dalle ceneri. Dietro di te (Direzione Ovest): Alle tue spalle c'e' il portale d'ingresso che ti separa dal caos di Jalan Kemenangan. Appena fuori dal cancello, il vicolo e' stretto e affollato di venditori di tartarughe, uccelli (da liberare per il buon karma) e fiori rituali. Consiglio Audioguida: Porta rispetto evitando di usare il flash e non passare direttamente tra un fedele che prega e l'altare. Nota il soffitto annerito dal fumo dei secoli: l'edificio e' stato parzialmente ricostruito dopo un incendio nel 2015, ma conserva ancora l'anima e i pilastri originali."
Grand Mosque of Bandung;-6.921719217419142, 107.60614376422;"Ti trovi nel cuore di Bandung, esattamente sopra l'immenso prato sintetico verde che costituisce il sagrato della Grand Mosque of BandungFai clic per aprire il riquadro laterale per ulteriori informazioni (Masjid Raya Bandung), situata su Jalan Dalem Kaum. Accesso all'area: Gratuito (per salire sulla torre campanaria si paga un piccolo biglietto). Costi: L'ingresso alla moschea e' libero; l'accesso alla torre costa circa 5.000 IDR per i bambini e 10.000 IDR per gli adulti. Davanti a te (Direzione Ovest): Si erge la facciata principale della moschea con la sua enorme cupola centrale dorata. L'architettura fonde elementi mediorientali con motivi decorativi locali. Noterai l'ampio porticato dove i fedeli e i visitatori lasciano le scarpe prima di entrare nella sala di preghiera, caratterizzata da soffitti altissimi e un'atmosfera di grande solennita'. Alla tua destra e alla tua sinistra (Direzione Nord e Sud): Svettano le due iconiche torri gemelle, alte ben 81 metri. Se guardi alla tua destra (Nord), vedrai la torre che spesso e' aperta al pubblico: dalla sua sommita' si gode di una vista a 360 gradi su tutta la citta' e sulle montagne circostanti. Tutto intorno a te, il prato sintetico e' un punto di ritrovo sociale dove vedrai famiglie che si rilassano e bambini che giocano, creando un'atmosfera comunitaria unica. Dietro di te (Direzione Est): Si apre la Alun-Alun Bandung, la piazza principale della citta'. Oltre il perimetro del prato, iniziano le strade commerciali piu' frequentate: vedrai l'inizio di Jalan Asia Afrika, famosa per i suoi edifici storici in stile Art Déco e per essere stata la sede della storica Conferenza Afro-Asiatica del 1955. Consiglio Audioguida: Ricorda di vestire in modo modesto per entrare e, se vuoi salire sulla torre, controlla gli orari poiché l'accesso potrebbe essere limitato durante i momenti di preghiera. La sensazione del prato sintetico sotto i piedi nudi e' una delle esperienze caratteristiche di questo luogo."
Saung Angklung Udjo;-6.898016639985629, 107.65525419463611;Ti trovi all'interno del Saung Angklung Udjo, un centro culturale dedicato alla conservazione della musica tradizionale sundanese, situato su Jalan Padasuka n. 118, nella parte est di Bandung. Accesso all'area: A pagamento. Costi: Il biglietto per lo spettacolo pomeridiano costa circa 100.000 - 150.000 IDR per i turisti stranieri (include un drink di benvenuto e un piccolo angklung ricordo). Davanti a te (Direzione Nord): Si trova il grande anfiteatro in legno e bambu' chiamato Bale Karesmen. e' qui che si svolgono le performance: vedrai un palco centrale basso circondato da gradinate circolari. Sul palco sono disposti i telai in bambu' che sorreggono i vari set di angklung e altri strumenti come il calung e i tamburi kendang. Alla tua destra (Direzione Est): Trovi il fornitissimo negozio di souvenir e la fabbrica di strumenti. Attraverso le vetrate o camminando nei pressi, puoi osservare gli artigiani mentre tagliano, levigano e accordano i tubi di bambu' a mano per creare nuovi strumenti. Alla tua sinistra (Direzione Ovest): Vedrai l'area della reception e il piccolo museo che espone la storia del fondatore, Udjo Ngalagena, e l'evoluzione dell'angklung come patrimonio UNESCO. Qui vicino si trova anche l'area ristoro dove puoi gustare te' o snack locali. Dietro di te (Direzione Sud): C'e' il sentiero d'ingresso che attraversa un giardino rigoglioso con alte piante di bambu', che isolano il centro dai rumori della citta'. Consiglio Audioguida: Durante lo spettacolo sarai invitato a suonare: riceverai un angklung marchiato con una nota specifica. Segui i gesti del direttore d'orchestra per scuotere lo strumento al momento giusto insieme agli altri spettatori per creare una melodia collettiva.
Borobudur;-7.6079396922112545, 110.20382866146281;"Ti trovi ai piedi dell'imponente Candi BorobudurFai clic per aprire il riquadro laterale per ulteriori informazioni, il tempio buddista piu' grande del mondo, situato a Magelang, vicino a Yogyakarta. Accesso all'area: A pagamento. Costi: Per i turisti stranieri il biglietto per il parco costa circa 375.000 IDR, mentre l'accesso limitato per salire sulla struttura del tempio richiede un biglietto speciale da circa 455.000 IDR (include guida obbligatoria e calzature speciali ""upanat""). Davanti a te (Direzione Ovest): Si erge la maestosa piramide a gradoni costruita in pietra vulcanica scura. La struttura e' composta da nove piattaforme: sei quadrate alla base e tiga circolari in cima. Noterai le ripide scale centrali che portano verso il nirvana; lungo le pareti dei corridoi inferiori si snodano migliaia di pannelli scolpiti in bassorilievo che narrano la vita del Buddha. Alla tua destra e sinistra (Direzione Nord e Sud): Il tempio e' circondato da una vasta area verde curata e, in lontananza, puoi scorgere la sagoma dei vulcani Merapi e Merbabu. Lungo il perimetro delle terrazze quadrate, vedrai centinaia di nicchie che ospitano statue di Buddha seduto, molte delle quali rivolte verso la giungla circostante. Dietro di te (Direzione Est): Si trova l'ingresso principale del parco e il viale d'accesso che porta ai musei interni e all'area dei mercati locali. Se ti volti, vedrai la prospettiva completa della simmetria del tempio che emerge dalla vegetazione tropicale. Consiglio Audioguida: Se hai il permesso di salire sulle terrazze superiori circolari, osserva le 72 stupa a forma di campana traforata: all'interno di ognuna si trova una statua di Buddha. La stupa centrale piu' grande, in cima a tutto, rappresenta il vuoto e l'illuminazione suprema. Cerca di visitare il sito all'alba per godere della nebbia che si alza dalla valle."
Pawon Temple;-7.606131076955436, 110.21959392975188;"Ti trovi davanti al Candi Pawon, un piccolo ma elegante tempio buddista dell'VIII secolo situato a circa 1,5 km a est di Borobudur, nel villaggio di Wanurejo. Accesso all'area: A pagamento. Costi: Il biglietto costa circa 20.000 IDR per i turisti stranieri (spesso e' incluso in un biglietto combinato con il vicino tempio di Mendut). Davanti a te (Direzione Ovest): Si erge l'unica struttura del tempio, costruita in pietra vulcanica scura. Rispetto al maestoso Borobudur, questo tempio e' minuscolo e poggia su una base quadrata. Osserva la precisione delle sculture sulle pareti esterne: rappresentano divinita' celesti e l'albero della vita (Kalpataru) circondato da vasi della ricchezza. L'unica porta d'ingresso si apre verso est, ma tu ora guardi la facciata principale. Alla tua destra e alla tua sinistra (Direzione Nord e Sud): Il tempio e' incastonato in un piccolo cortile recintato, circondato dalle case del villaggio locale. Noterai che il tempio e' perfettamente simmetrico e presenta piccole finestre traforate nella parte superiore della cella, una caratteristica architettonica rara che serviva a far circolare l'aria e la luce all'interno. Dietro di te (Direzione Est): Si trova il piccolo cancello d'ingresso al sito e la strada che collega Borobudur a Mendut. Alle tue spalle vedrai spesso qualche venditore locale e il tranquillo ritmo della vita rurale giavanese. Consiglio Audioguida: Osserva bene il tetto; e' composto da una serie di piccole stupa che richiamano lo stile di Borobudur, a dimostrazione del legame spirituale tra i due siti. Si dice che questo tempio fungesse da luogo di purificazione prima di raggiungere il tempio principale."
Mendut Temple;-7.604790805521122, 110.23008355945865;Ti trovi di fronte al Candi Mendut, il piu' antico dei tre templi del complesso di Borobudur, situato nel villaggio di Mendut, a circa 3 km a est di Borobudur. Accesso all'area: A pagamento. Costi: Il biglietto costa circa 20.000 IDR per i turisti stranieri (spesso acquistato insieme a quello di Pawon). Davanti a te (Direzione Nord-Ovest): Ammiri la struttura principale del tempio, che poggia su un'alta base quadrata con una scalinata d'accesso. All'interno della cella principale, puoi vedere tre imponenti statue in pietra alte circa tre metri: la piu' grande e' il Buddha Vairocana seduto in posizione occidentale, affiancato dai bodhisattva Avalokitesvara e Vajrapani. Le pareti esterne sono ornate da bassorilievi finemente scolpiti che raffigurano scene didattiche e divinita'. Alla tua destra (Direzione Nord-Est): Si estende il rigoglioso giardino del sito, dominato da un maestoso e antico albero di Banyan con radici aeree che scendono fino al suolo, creando un'atmosfera sacra e senza tempo. Alla tua sinistra (Direzione Sud-Ovest): Vedrai il Monastero Buddista di Mendut (Vihara Mendut). e' un luogo di meditazione attivo dove noterai statue di Buddha moderne, laghetti con fiori di loto e, spesso, monaci in tunica zafferano che camminano tra i vialetti ordinati. Dietro di te (Direzione Sud-Est): Si trova il cancello d'ingresso principale e la strada Jalan Mayor Kusen. Alle tue spalle ci sono anche piccole bancarelle di souvenir e artigianato locale. Consiglio Audioguida: Osserva i pannelli alla base del tempio: illustrano favole Jataka (storie di animali) che portano insegnamenti morali buddisti. Il tempio di Mendut e' unico perché le sue statue originali sono ancora perfettamente conservate al suo interno.
Ngasem Traditional Market;-7.808144210790886, 110.36001203771305;"Ti trovi all'ingresso del Mercato Tradizionale di Ngasem (Pasar Ngasem), situato nel cuore del quartiere storico di Patehan, a pochi passi dalle mura del Kraton di Yogyakarta su Jalan Polowijan. Accesso all'area: Gratuito (si paga solo cio che si acquista). Costi: L'ingresso e' libero; un tipico spuntino locale (jajan pasar) costa tra 2.000 e 10.000 IDR, mentre un pasto completo nei dintorni circa 20.000-40.000 IDR. Davanti a te (Direzione Nord): Si apre l'area principale del mercato, recentemente rinnovata ma ancora densa di atmosfera locale. Vedrai banchi ordinati di frutta fresca, verdure, spezie colorate e carni. e' il posto ideale per osservare la vita quotidiana degli abitanti di Yogyakarta che fanno la spesa la mattina presto. L'aria e' un misto di profumo di spezie e caffe'. Alla tua destra (Direzione Est): Noterai un'area dedicata allo street food locale, dove molte donne preparano il ""Gudeg"" (piatto tipico a base di jackfruit) e dolci tradizionali. Proseguendo in questa direzione per pochi metri, si arriva all'ingresso del celebre Taman Sari (il Castello sull'Acqua), i cui resti delle mura si fondono con le case del quartiere. Alla tua sinistra (Direzione Ovest): Vedrai i parcheggi per i motorini e i tipici ""Becak"" (riscio a pedali) in attesa dei clienti. Lungo la strada esterna si trovano piccoli negozi di artigianato e homeware locale. Un tempo questa zona era famosa come mercato degli uccelli, prima che venisse spostato altrove, ma l'architettura conserva ancora il fascino del passato reale. Dietro di te (Direzione Sud): C'e' l'uscita verso Jalan Polowijan che conduce verso il Palazzo del Sultano (Kraton). Alle tue spalle si estende il fitto reticolo di vicoli del villaggio fortificato, dove le case dei residenti convivono con piccoli laboratori di batik e gallerie d'arte. Consiglio Audioguida: Visita il mercato tra le 6:00 e le 9:00 del mattino per vivere la massima attivita'. Non dimenticare di provare l' ""Apem"", un soffice pancake di riso cotto su piccoli forni a carbone proprio qui all'ingresso."
Taman Sari Tourist Village;-7.8099626761331935, 110.35900361494427;"Ti trovi nel cuore del Taman Sari Tourist Village (Kampung Wisata Taman Sari), l'antico quartiere residenziale che sorge all'interno e intorno alle mura del leggendario ""Castello sull'Acqua"" dei sultani, a Yogyakarta. Accesso all'area: Gratuito per camminare nel villaggio (si paga il biglietto solo per entrare nel sito storico recintato). Costi: L'accesso al complesso balneare centrale (Umbul Binangun) costa circa 15.000 IDR per gli stranieri, piu' una piccola tassa per l'uso della fotocamera. Davanti a te (Direzione Nord): Vedrai l'ingresso principale del complesso storico di Taman Sari. Se sei gia' all'interno, avrai davanti a te le iconiche piscine color turchese circondate da imponenti strutture in pietra color sabbia e torrette di osservazione. Fuori dal sito, i vicoli sono decorati con murales colorati che raccontano la storia e le tradizioni locali. Alla tua destra (Direzione Est): Si snoda un labirinto di stradine strette e pulite dove vivono gli artigiani del batik. Troverai numerosi laboratori e piccole gallerie dove puoi vedere gli artisti all'opera con la cera calda. Se prosegui in questa direzione, raggiungerai le mura perimetrali orientali del Kraton. Alla tua sinistra (Direzione Ovest): Camminando tra le case, arriveresti verso la zona della ""Moschea Sotterranea"" (Sumur Gumuling), una struttura circolare unica con scale incrociate, nascosta sotto il livello del suolo. Nelle vicinanze si trovano anche i resti dell'antico lago artificiale (Pulo Kenongo) che un tempo circondava il palazzo. Dietro di te (Direzione Sud): Ti lasci alle spalle il Mercato di Ngasem e l'area sud del villaggio. Qui i vicoli ospitano piccoli caffe' tipici e homestay accoglienti ricavate dalle antiche abitazioni dei servitori della corte. Consiglio Audioguida: Perditi volutamente tra i vicoli: il villaggio e' una galleria d'arte a cielo aperto. Cerca i passaggi sotterranei che collegano le varie seose del palazzo; un tempo servivano al Sultano per spostarsi non visto. Ricorda che e' una zona residenziale, quindi e' bene mantenere un tono di voce moderato."
